FIGHT URL,FIGHTER 1,FIGHTER 2,METHOD,DETAILS,ROUND,TIME,TIME FORMAT,REFEREE
http://ufcstats.com/fight-details/c3ef3cb03edde8bb,Josh Emmett,Ilia Topuria,Decision - Unanimous,Sal D'amato 44 - 50. Chris Lee 42 - 50. Eric Colon 45 - 49.,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard
http://ufcstats.com/fight-details/07cb64236ae7aaea,Amanda Ribas,Maycee Barber,KO/TKO,Elbows to Head From Half Guard,2,3:42,3 Rnd (5-5-5),Keith Peterson
http://ufcstats.com/fight-details/2874ea5d2f783e23,Austen Lane,Justin Tafa,Could Not Continue,Eye injury,1,0:29,3 Rnd (5-5-5),Dan Miragliotta
http://ufcstats.com/fight-details/582806c33ce6dcf6,David Onama,Gabriel Santos,KO/TKO,Punch to Head At Distance,2,4:13,3 Rnd (5-5-5),Keith Peterson
http://ufcstats.com/fight-details/9124740fe7816d70,Brendan Allen,Bruno Silva,Submission,Rear Naked Choke,1,4:39,3 Rnd (5-5-5),Marc Goddard
http://ufcstats.com/fight-details/ced01368259428f5,Neil Magny,Phil Rowe,Decision - Split,Barry Luxenberg 28 - 29. Chris Lee 29 - 28. Sal D'amato 28 - 29.,3,5:00,3 Rnd (5-5-5),Dan Miragliotta
http://ufcstats.com/fight-details/42922bab8a3e1828,Randy Brown,Wellington Turman,Decision - Unanimous,Barry Luxenberg 28 - 29. Sal D'amato 28 - 29. Chris Lee 28 - 29.,3,5:00,3 Rnd (5-5-5),Andrew Glenn
http://ufcstats.com/fight-details/8b296724a6844865,Mateusz Rebecki,Loik Radzhabov,KO/TKO,Punch to Head At Distance,2,2:36,3 Rnd (5-5-5),Larry Folsom
http://ufcstats.com/fight-details/c22de92b9d9030dc,Tabatha Ricci,Gillian Robertson,Decision - Unanimous,Sal D'amato 28 - 29. Barry Luxenberg 28 - 29. Chris Lee 27 - 30.,3,5:00,3 Rnd (5-5-5),Keith Peterson
http://ufcstats.com/fight-details/c2cdeb207cce5ceb,Zhalgas Zhumagulov,Joshua Van,Decision - Split,Eric Colon 28 - 29. Barry Luxenberg 29 - 28. Sal D'amato 28 - 29.,3,5:00,3 Rnd (5-5-5),Andrew Glenn
http://ufcstats.com/fight-details/f18d44292036d5de,Trevor Peek,Chepe Mariscal,Decision - Unanimous,Derek Cleary 27 - 30. Troy Wincapaw 27 - 30. Chris Lee 27 - 30.,3,5:00,3 Rnd (5-5-5),Larry Folsom
http://ufcstats.com/fight-details/fcc1191761e365f9,Jamall Emmers,Jack Jenkins,Decision - Split,Troy Wincapaw 30 - 27. Chris Lee 28 - 29. Sal D'amato 28 - 29.,3,5:00,3 Rnd (5-5-5),Andrew Glenn
http://ufcstats.com/fight-details/7b909acede0a26eb,Cody Brundage,Sedriques Dumas,Decision - Unanimous,Troy Wincapaw 27 - 30. Eric Colon 28 - 29. Derek Cleary 27 - 30.,3,5:00,3 Rnd (5-5-5),Dan Miragliotta
http://ufcstats.com/fight-details/175d9e1ac0725145,Marvin Vettori,Jared Cannonier,Decision - Unanimous,Mike Bell 45 - 49. Ben Cartlidge 45 - 49. Sal D'amato 46 - 48.,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean
http://ufcstats.com/fight-details/6c2199524d762b11,Arman Tsarukyan,Joaquim Silva,KO/TKO,Punches to Head From Mount,3,3:25,3 Rnd (5-5-5),Keith Peterson
http://ufcstats.com/fight-details/5d9b84493f1ed114,Armen Petrosyan,Christian Leroy Duncan,Decision - Unanimous,Tony Weeks 27 - 30. Derek Cleary 28 - 29. Sal D'amato 28 - 29.,3,5:00,3 Rnd (5-5-5),Mark Smith
http://ufcstats.com/fight-details/76fd6919d828d5c2,Pat Sabatini,Lucas Almeida,Submission,Arm Triangle From Mount,2,1:48,3 Rnd (5-5-5),Chris Tognoni
http://ufcstats.com/fight-details/98458778348ea5d7,Manuel Torres,Nikolas Motta,KO/TKO,Elbow to Head At Distance,1,1:50,3 Rnd (5-5-5),Herb Dean
http://ufcstats.com/fight-details/870672b1b443311e,Nicolas Dalby,Muslim Salikhov,Decision - Unanimous,Derek Cleary 27 - 30. Sal D'amato 27 - 30. Mike Bell 28 - 29.,3,5:00,3 Rnd (5-5-5),Mark Smith
http://ufcstats.com/fight-details/bc1be168c064f028,Jimmy Flick,Alessandro Costa,KO/TKO,Elbows to Head From Half Guard,2,1:03,3 Rnd (5-5-5),Keith Peterson
http://ufcstats.com/fight-details/7ba54a10f28c9496,Kyung Ho Kang,Cristian Quinonez,Submission,Rear Naked Choke,1,2:25,3 Rnd (5-5-5),Chris Tognoni
http://ufcstats.com/fight-details/8ea12c7360fa0f6b,Carlos Hernandez,Denys Bondar,Decision - Unanimous,Technical decision after clash of heads Ben Cartlidge 27 - 30. Anthony Maness 27 - 30. Junichiro Kamijo 28 - 29.,3,4:59,3 Rnd (5-5-5),Jerin Valel
http://ufcstats.com/fight-details/9cfb84817a43b63c,Tereza Bleda,Gabriella Fernandes,Decision - Unanimous,Mike Bell 27 - 30. Sal D'amato 27 - 30. Tony Weeks 27 - 30.,3,5:00,3 Rnd (5-5-5),Chris Tognoni
http://ufcstats.com/fight-details/9a2d3ebab827d333,Dan Argueta,Ronnie Lawrence,Overturned,no info,1,2:20,3 Rnd (5-5-5),Keith Peterson
http://ufcstats.com/fight-details/8794031c523bf534,Zac Pauga,Modestas Bukauskas,Decision - Unanimous,Anthony Maness 27 - 30. Derek Cleary 28 - 29. Sal D'amato 28 - 29.,3,5:00,3 Rnd (5-5-5),Mark Smith
